N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.01,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
2.9,50000,-0.779363225,0.019544909,-3.09E-05,0.032705792,4.53E-05,2.33E-06,0.000368367,1.83E-05,,,,,,,,,,,,,,
2.91,50000,-0.776423064,0.019494224,0.000819592,0.033098919,4.47E-05,2.03E-06,0.000375212,1.61E-05,,,,,,,,,,,,,,
2.92,50000,-0.771641424,0.019291656,0.002394628,0.032438692,4.36E-05,1.88E-06,0.000360018,1.74E-05,,,,,,,,,,,,,,
2.93,50000,-0.767169752,0.019338427,0.0038724,0.034060377,4.35E-05,1.62E-06,0.000395896,1.73E-05,,,,,,,,,,,,,,
2.94,50000,-0.763758384,0.01890745,0.00183254,0.033570491,4.13E-05,1.52E-06,0.000382661,1.67E-05,,,,,,,,,,,,,,
2.95,50000,-0.75961108,0.019346269,0.000149468,0.033189918,4.29E-05,1.99E-06,0.000372255,1.56E-05,,,,,,,,,,,,,,
2.96,50000,-0.756142488,0.019596428,-0.004896188,0.032041247,4.38E-05,2.09E-06,0.000346677,1.52E-05,,,,,,,,,,,,,,
2.97,50000,-0.751182248,0.019232521,0.000199808,0.030116546,4.19E-05,1.67E-06,0.000304892,1.18E-05,,,,,,,,,,,,,,
2.98,50000,-0.747209872,0.019288011,0.005941252,0.031241065,4.19E-05,1.90E-06,0.000327013,1.19E-05,,,,,,,,,,,,,,
2.99,50000,-0.743668624,0.019228799,-0.000340604,0.030259564,4.13E-05,1.85E-06,0.000305762,1.17E-05,,,,,,,,,,,,,,
3,50000,-0.7401892,0.019261506,0.003576992,0.030663859,4.11E-05,1.66E-06,0.000313023,1.28E-05,,,,,,,,,,,,,,
