N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.005,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
2.66,50000,-0.904213896,0.021382388,0.006560124,0.046315596,6.45E-05,3.51E-06,0.000805559,3.61E-05,,,,,,,,,,,,,,
2.665,50000,-0.902006072,0.020889006,-0.006303132,0.048482298,6.13E-05,2.65E-06,0.000880882,3.60E-05,,,,,,,,,,,,,,
2.67,50000,-0.897141168,0.020584905,-2.50E-05,0.046081367,5.93E-05,2.42E-06,0.00079287,3.17E-05,,,,,,,,,,,,,,
2.675,50000,-0.895671432,0.020714837,-0.012751556,0.047236303,5.99E-05,2.66E-06,0.000832669,3.36E-05,,,,,,,,,,,,,,
2.68,50000,-0.892428208,0.020783928,-0.004839508,0.043362596,6.00E-05,2.64E-06,0.000700908,3.45E-05,,,,,,,,,,,,,,
2.685,50000,-0.889152152,0.02196335,0.005631612,0.045645668,6.68E-05,3.02E-06,0.000775428,4.37E-05,,,,,,,,,,,,,,
2.69,50000,-0.887319368,0.021795433,-0.000761816,0.047536837,6.55E-05,2.88E-06,0.000837847,4.24E-05,,,,,,,,,,,,,,
2.695,50000,-0.88293844,0.021140237,0.0045977,0.043559909,6.14E-05,2.78E-06,0.000702544,3.13E-05,,,,,,,,,,,,,,
2.7,50000,-0.88027696,0.021092008,0.002282664,0.04186323,6.09E-05,3.00E-06,0.00064852,2.74E-05,,,,,,,,,,,,,,
2.705,50000,-0.877661488,0.021106983,-0.011249376,0.039107321,6.07E-05,2.91E-06,0.000565033,2.25E-05,,,,,,,,,,,,,,
2.71,50000,-0.87296048,0.021037518,0.002749024,0.042265523,6.02E-05,2.87E-06,0.000658671,3.32E-05,,,,,,,,,,,,,,
2.715,50000,-0.870870824,0.020702658,-0.007294132,0.040956938,5.80E-05,2.75E-06,0.00061669,3.25E-05,,,,,,,,,,,,,,
2.72,50000,-0.86751932,0.020877131,3.95E-06,0.041384003,5.88E-05,2.75E-06,0.000629141,2.26E-05,,,,,,,,,,,,,,
2.725,50000,-0.86629304,0.020783042,0.00357522,0.042543099,5.82E-05,2.08E-06,0.000663241,3.14E-05,,,,,,,,,,,,,,
2.73,50000,-0.86363428,0.020242368,0.002268752,0.038123386,5.49E-05,2.13E-06,0.000530716,2.17E-05,,,,,,,,,,,,,,
2.735,50000,-0.860822528,0.021328558,-1.34E-05,0.039473558,6.08E-05,2.07E-06,0.000568642,2.47E-05,,,,,,,,,,,,,,
2.74,50000,-0.858910032,0.020526725,0.006507776,0.042150038,5.61E-05,2.15E-06,0.000647677,2.36E-05,,,,,,,,,,,,,,
2.745,50000,-0.854055104,0.020767415,-0.00194916,0.038774861,5.71E-05,2.56E-06,0.000546875,2.19E-05,,,,,,,,,,,,,,
2.75,50000,-0.851536504,0.021210288,0.002324236,0.036835024,5.94E-05,3.18E-06,0.000492747,1.94E-05,,,,,,,,,,,,,,
2.755,50000,-0.850909016,0.019925574,-0.005403784,0.041987318,5.22E-05,2.65E-06,0.000639763,2.06E-05,,,,,,,,,,,,,,
2.76,50000,-0.846988056,0.020908196,0.003480396,0.041426348,5.73E-05,2.30E-06,0.000620908,2.50E-05,,,,,,,,,,,,,,
2.765,50000,-0.844695144,0.020535052,-0.00049834,0.039390683,5.51E-05,2.20E-06,0.000559364,2.32E-05,,,,,,,,,,,,,,
2.77,50000,-0.842966848,0.020949457,-0.002517444,0.040687651,5.72E-05,2.73E-06,0.000595505,3.15E-05,,,,,,,,,,,,,,
2.775,50000,-0.838848984,0.020383317,0.002026336,0.039732055,5.39E-05,2.06E-06,0.000568026,2.75E-05,,,,,,,,,,,,,,
2.78,50000,-0.836826112,0.020533968,0.001792504,0.034711108,5.45E-05,2.34E-06,0.00043269,1.81E-05,,,,,,,,,,,,,,
2.785,50000,-0.834866272,0.020117509,-0.001848224,0.034766163,5.21E-05,2.43E-06,0.000432899,1.68E-05,,,,,,,,,,,,,,
2.79,50000,-0.83287792,0.020405712,2.02E-05,0.038800131,5.33E-05,2.77E-06,0.000538858,2.60E-05,,,,,,,,,,,,,,
2.795,50000,-0.828379568,0.020279455,-0.003733532,0.036321734,5.26E-05,2.29E-06,0.000471459,2.59E-05,,,,,,,,,,,,,,
2.8,50000,-0.827214312,0.02002001,-0.000766768,0.036591007,5.10E-05,2.05E-06,0.00047733,1.81E-05,,,,,,,,,,,,,,
2.805,50000,-0.824847848,0.020514475,0.001467912,0.038687321,5.33E-05,2.69E-06,0.000532961,2.45E-05,,,,,,,,,,,,,,
2.81,50000,-0.8212454,0.019455548,0.001661228,0.03422106,4.79E-05,1.92E-06,0.000416045,2.32E-05,,,,,,,,,,,,,,
2.815,50000,-0.820243632,0.020401855,0.0023134,0.033159826,5.24E-05,2.29E-06,0.000390404,1.66E-05,,,,,,,,,,,,,,
2.82,50000,-0.815736112,0.020166665,-0.002530228,0.035443948,5.10E-05,2.21E-06,0.000444816,1.91E-05,,,,,,,,,,,,,,
2.825,50000,-0.815158344,0.02049002,-0.006652564,0.035381363,5.25E-05,2.30E-06,0.000442915,2.13E-05,,,,,,,,,,,,,,
2.83,50000,-0.8130148,0.019920094,-0.004238612,0.036555478,4.94E-05,1.87E-06,0.000471442,1.89E-05,,,,,,,,,,,,,,
2.835,50000,-0.808950752,0.02003639,0.0012147,0.034050841,4.98E-05,2.38E-06,0.000408719,1.48E-05,,,,,,,,,,,,,,
2.84,50000,-0.807242368,0.019967386,0.005165568,0.038324156,4.93E-05,2.05E-06,0.00051697,2.22E-05,,,,,,,,,,,,,,
2.845,50000,-0.804501048,0.019540513,-0.002093484,0.035463404,4.70E-05,2.01E-06,0.00044171,2.31E-05,,,,,,,,,,,,,,
2.85,50000,-0.802453912,0.019670523,-0.005680156,0.034837922,4.75E-05,1.92E-06,0.000424943,1.87E-05,,,,,,,,,,,,,,
2.855,50000,-0.800685528,0.019298214,0.004266512,0.036815129,4.56E-05,1.89E-06,0.000474636,2.21E-05,,,,,,,,,,,,,,
2.86,50000,-0.799333672,0.019554233,-0.000743444,0.032985147,4.67E-05,2.24E-06,0.000379915,1.43E-05,,,,,,,,,,,,,,
2.865,50000,-0.795773112,0.019718217,-0.002976356,0.033711598,4.74E-05,1.80E-06,0.000395794,1.98E-05,,,,,,,,,,,,,,
2.87,50000,-0.794721432,0.019854446,-0.001122784,0.034655489,4.78E-05,1.96E-06,0.000418138,2.01E-05,,,,,,,,,,,,,,
2.875,50000,-0.790711064,0.019932108,-0.000564472,0.035261629,4.80E-05,2.38E-06,0.000432322,2.02E-05,,,,,,,,,,,,,,
2.88,50000,-0.788291336,0.019920971,-0.00332476,0.031768521,4.78E-05,1.93E-06,0.00035073,1.47E-05,,,,,,,,,,,,,,
2.885,50000,-0.786415832,0.019756904,0.00074126,0.034710209,4.68E-05,2.11E-06,0.000416926,1.80E-05,,,,,,,,,,,,,,
2.89,50000,-0.78471312,0.019406574,-0.001758348,0.035251721,4.50E-05,1.70E-06,0.000429262,2.02E-05,,,,,,,,,,,,,,
