N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.269,TRUE,0.2,0.002,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,,,,,,,,
2.275,100,0.007723158,0.002158553,-0.000499737,-0.001968684,-0.002860395,-0.003341711,-0.003552105,-0.003624342,-0.003798421,0.004105573,0.002390398,0.001641781,0.001270026,0.001422345,0.001775414,0.002020371,0.002210324,0.002486992,,,,,,,,
2.277,100,0.00627075,0.001582197,-0.000622671,-0.001646487,-0.002283592,-0.002749645,-0.002941487,-0.003089776,-0.003105171,0.003675661,0.002292436,0.001476995,0.001205082,0.001232314,0.001501221,0.001812577,0.002137503,0.002526367,,,,,,,,
2.279,100,0.011286013,0.004756934,0.001066013,-0.001422145,-0.003414645,-0.004687013,-0.005596882,-0.006196882,-0.006592013,0.006015747,0.00386233,0.002452947,0.001451095,0.001689782,0.002527962,0.003223357,0.003961402,0.004645197,,,,,,,,
2.281,100,0.009389461,0.003740118,0.000633539,-0.001331461,-0.002518961,-0.003602645,-0.004586855,-0.005259355,-0.005716855,0.005924011,0.003936745,0.002406387,0.001483892,0.001276014,0.00204672,0.003035342,0.003909738,0.004451144,,,,,,,,
2.283,100,0.005261474,0.000990289,-0.000830895,-0.001707211,-0.002227079,-0.002446026,-0.002456026,-0.002422474,-0.002390105,0.003533494,0.001841694,0.001092777,0.001193435,0.001442881,0.001748439,0.001714032,0.001611852,0.00177575,,,,,,,,
2.285,100,0.005365539,0.001163171,-0.000599066,-0.001641171,-0.002093803,-0.00248025,-0.00242525,-0.002543934,-0.002764855,0.003609203,0.002140958,0.001290624,0.001042244,0.001284487,0.001546429,0.00181636,0.001965682,0.002155271,,,,,,,,
2.287,100,0.006239276,0.001730197,-0.000439013,-0.001603487,-0.002268224,-0.002557566,-0.002934671,-0.003096513,-0.00324125,0.004031342,0.002419247,0.001536491,0.001171422,0.001395335,0.001599706,0.001848312,0.002230967,0.002332214,,,,,,,,
2.289,100,0.006482868,0.001880895,-0.000250289,-0.001670553,-0.002466737,-0.0027795,-0.003110158,-0.003339368,-0.003492132,0.004786925,0.002772444,0.001532744,0.000990119,0.001554108,0.001947531,0.002327214,0.002772132,0.002846217,,,,,,,,
2.291,100,0.006951289,0.001958132,-0.000463184,-0.001720553,-0.002552789,-0.002966474,-0.003240289,-0.0034045,-0.003445553,0.004081671,0.002557932,0.001457189,0.001055668,0.001208764,0.001632544,0.002103216,0.002327942,0.002505392,,,,,,,,
2.293,100,0.009658092,0.003919671,0.000883092,-0.001280066,-0.002920066,-0.00412625,-0.004810461,-0.005445592,-0.005841382,0.006345531,0.004279501,0.00262885,0.001352383,0.00177219,0.002574584,0.003388819,0.004229647,0.004761942,,,,,,,,
2.295,100,0.006783145,0.001676303,-0.00066225,-0.001936066,-0.002583697,-0.003034092,-0.003200408,-0.003237776,-0.003059487,0.004568193,0.00287736,0.001659376,0.001422314,0.001502705,0.001905706,0.002382526,0.002820593,0.003160897,,,,,,,,
2.297,100,0.006665171,0.001870566,-0.000356408,-0.001422066,-0.00220325,-0.002805092,-0.003256539,-0.003464829,-0.003721539,0.004701656,0.002777261,0.001694966,0.001062347,0.001265657,0.001823993,0.002365262,0.002910979,0.003321904,,,,,,,,
2.299,100,0.008349566,0.002761671,0.000111539,-0.001589776,-0.002709645,-0.003528724,-0.004019645,-0.004370829,-0.004615039,0.005141521,0.00331334,0.002175695,0.001438948,0.001485876,0.002042441,0.002487839,0.003105365,0.003579924,,,,,,,,
2.301,100,0.010260224,0.004121803,0.000777461,-0.001320829,-0.002907145,-0.004068855,-0.005033066,-0.005765697,-0.006022145,0.006688699,0.004504347,0.002600642,0.001471021,0.001623757,0.002492629,0.003531544,0.004264867,0.004712521,,,,,,,,
2.303,100,0.008415526,0.002885263,6.74E-05,-0.001474079,-0.002591579,-0.003561316,-0.004144605,-0.004581842,-0.004652632,0.005705911,0.003583701,0.002050429,0.001218471,0.001616279,0.002419831,0.00294012,0.003576376,0.003980378,,,,,,,,
2.305,100,0.00925275,0.003380908,0.000380382,-0.001557382,-0.002939618,-0.00393475,-0.004646987,-0.004949618,-0.005099355,0.006465133,0.00417752,0.0022553,0.001280011,0.001680515,0.002676476,0.003538522,0.003945317,0.004357717,,,,,,,,
2.307,100,0.006277855,0.001391276,-0.000934118,-0.002057539,-0.002486487,-0.002723329,-0.002759908,-0.002805434,-0.002922671,0.003693117,0.00193244,0.001229051,0.001392759,0.001419234,0.001600904,0.001607,0.001812536,0.002026678,,,,,,,,
2.309,100,0.008708579,0.003057789,0.000135816,-0.001648132,-0.002764842,-0.003659316,-0.004228,-0.004609184,-0.004806947,0.005148024,0.003573178,0.002402519,0.001306561,0.001400599,0.002066809,0.002856909,0.00345002,0.004055983,,,,,,,,
2.311,100,0.010953711,0.004133316,0.000560684,-0.001906289,-0.003474842,-0.004573789,-0.005263132,-0.005929053,-0.006220632,0.004988768,0.003106322,0.001960748,0.001437908,0.001627961,0.002214897,0.002766098,0.003157198,0.003576744,,,,,,,,
2.313,100,0.0075725,0.002456447,-0.000104079,-0.001645526,-0.002704342,-0.003286974,-0.003676711,-0.003938026,-0.004021053,0.004014612,0.002610373,0.00165487,0.001104875,0.001373479,0.001787901,0.002019828,0.002386506,0.002594345,,,,,,,,
2.315,100,0.005157671,0.001056487,-0.000621539,-0.001456145,-0.002005618,-0.002184697,-0.002419171,-0.002671803,-0.002764171,0.003344255,0.00221139,0.001462295,0.000973015,0.001127317,0.001419859,0.0017487,0.001900893,0.002262021,,,,,,,,
2.317,100,0.008071645,0.002186645,-0.000493487,-0.002008618,-0.002805724,-0.003269276,-0.003613487,-0.003971513,-0.004042171,0.003835717,0.002180548,0.001457959,0.001558747,0.001536132,0.001481305,0.001744049,0.0020656,0.002585115,,,,,,,,
2.319,100,0.005520829,0.001060171,-0.000636276,-0.001712329,-0.002256671,-0.002572066,-0.002681276,-0.002691934,-0.002658118,0.00328136,0.001981062,0.001150673,0.000868407,0.001176375,0.001496199,0.001835686,0.001901493,0.001878313,,,,,,,,
2.321,100,0.006184711,0.0013405,-0.000705421,-0.001671737,-0.002260553,-0.002667132,-0.003085684,-0.003195158,-0.003192789,0.003570915,0.001987614,0.001261941,0.000991357,0.001216003,0.001428547,0.00183022,0.002013716,0.002211194,,,,,,,,
2.323,100,0.01326,0.006196579,0.001876842,-0.001200263,-0.003520263,-0.005179474,-0.006584605,-0.007576316,-0.008375,0.005574965,0.004033375,0.002747153,0.001773841,0.001715436,0.002185329,0.003078921,0.003902968,0.004593522,,,,,,,,
