N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
50,1.2,3,0.01,0.1,10000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,10,FALSE,FALSE,10000,10000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,,,,,,,,,,,,,,,,,,
2.06,10000,-1.630813439,0.070060867,0.78373104,0.172658545,0.001158132,7.60E-05,0.014424693,0.000734485,,,,,,,,,,,,,,
2.07,10000,-1.5152248,0.037193233,-0.09537488,0.08478248,0.000322574,2.27E-05,0.003471059,0.000106718,,,,,,,,,,,,,,
2.08,10000,-1.62656704,0.046999811,-0.84619048,0.035219192,0.000507172,1.62E-05,0.000594266,2.03E-05,,,,,,,,,,,,,,
2.09,10000,-1.567972,0.07495982,0.64525464,0.21380907,0.001285475,5.63E-05,0.021769442,0.000541257,,,,,,,,,,,,,,
2.1,10000,-1.574400159,0.074433969,0.72463216,0.206878533,0.001248434,5.50E-05,0.020371955,0.001075627,,,,,,,,,,,,,,
2.11,10000,-1.59744672,0.052087155,-0.80892736,0.082688535,0.000602992,3.04E-05,0.003210471,0.00029575,,,,,,,,,,,,,,
2.12,10000,-1.60054304,0.044814078,-0.837822319,0.032008437,0.000449357,1.81E-05,0.000480758,1.76E-05,,,,,,,,,,,,,,
2.13,10000,-1.573910239,0.049428617,0.80778064,0.043099485,0.000538669,2.59E-05,0.000865254,3.52E-05,,,,,,,,,,,,,,
2.14,10000,-1.576816959,0.044662695,0.82702296,0.030195242,0.000436024,1.52E-05,0.000427827,1.61E-05,,,,,,,,,,,,,,
2.15,10000,-1.43367728,0.043016092,0.00901288,0.168617586,0.000399962,1.29E-05,0.013249095,0.000356393,,,,,,,,,,,,,,
2.16,10000,-1.5269968,0.05139903,-0.76808824,0.065230585,0.000566406,1.89E-05,0.001965508,7.01E-05,,,,,,,,,,,,,,
2.17,10000,-1.52821616,0.053371238,0.78166704,0.048715764,0.000602734,2.65E-05,0.001093566,3.54E-05,,,,,,,,,,,,,,
2.18,10000,-1.46534448,0.061730695,0.62450144,0.153827294,0.000796429,1.95E-05,0.010825495,0.000368158,,,,,,,,,,,,,,
2.19,10000,-1.47478592,0.053253962,-0.72007992,0.076435187,0.000590548,2.29E-05,0.002681995,0.000154542,,,,,,,,,,,,,,
2.2,10000,-1.47798784,0.054241422,-0.7410896,0.062265883,0.000603792,2.33E-05,0.00175602,0.00012112,,,,,,,,,,,,,,
2.21,10000,-1.45963968,0.052022381,-0.72627536,0.050695182,0.000551022,1.84E-05,0.001163769,4.20E-05,,,,,,,,,,,,,,
2.22,10000,-1.437916321,0.072172357,0.69423624,0.117943274,0.001054405,3.93E-05,0.0062597,0.000243601,,,,,,,,,,,,,,
2.23,10000,-1.41156688,0.068563495,-0.66066472,0.109978341,0.000938985,2.12E-05,0.005424257,0.000245017,,,,,,,,,,,,,,
2.24,10000,-1.396933121,0.053055065,0.6634376,0.064549931,0.000556982,2.08E-05,0.001858565,8.53E-05,,,,,,,,,,,,,,
2.25,10000,-1.340326561,0.063758134,0.460428641,0.186972735,0.0008083,3.20E-05,0.015564882,0.000293681,,,,,,,,,,,,,,
2.26,10000,-1.292360002,0.057701909,0.2077676,0.270967775,0.000654021,3.97E-05,0.032494596,0.000979143,,,,,,,,,,,,,,
2.27,10000,-1.287266561,0.060740435,0.353769521,0.155356123,0.000715859,2.05E-05,0.010530541,0.000437913,,,,,,,,,,,,,,
2.28,10000,-1.286782881,0.055546765,0.417287281,0.122119942,0.000594785,1.98E-05,0.006533727,0.000246317,,,,,,,,,,,,,,
2.29,10000,-1.228738881,0.052455011,0.149184,0.182115443,0.000526,2.78E-05,0.014502829,0.000510699,,,,,,,,,,,,,,
2.3,10000,-1.237362722,0.054562881,0.263640801,0.171265154,0.000557497,2.50E-05,0.012731519,0.000297144,,,,,,,,,,,,,,
2.31,10000,-1.239207041,0.060675734,0.384806721,0.099930502,0.000684862,4.07E-05,0.004318234,0.000120981,,,,,,,,,,,,,,
2.32,10000,-1.186357602,0.049623676,-0.03047032,0.100853729,0.000457021,1.47E-05,0.004386866,0.000152279,,,,,,,,,,,,,,
2.33,10000,-1.188292322,0.053278175,-0.14136056,0.172241929,0.00052059,1.39E-05,0.012709848,0.000359396,,,,,,,,,,,,,,
2.34,10000,-1.171940002,0.049067891,-0.18856672,0.116203726,0.000444949,2.00E-05,0.005786467,0.000203754,,,,,,,,,,,,,,
2.35,10000,-1.180296961,0.066394385,-0.26381088,0.205662881,0.000796665,4.03E-05,0.018036571,0.000315724,,,,,,,,,,,,,,
2.36,10000,-1.164059682,0.046796113,0.14687376,0.161892173,0.000391961,1.92E-05,0.011174891,0.000731578,,,,,,,,,,,,,,
2.37,10000,-1.171802082,0.062580835,0.282208481,0.185905906,0.000696239,2.88E-05,0.014624095,0.0006893,,,,,,,,,,,,,,
2.38,10000,-1.139836002,0.050910956,0.1633832,0.162708717,0.000458895,2.23E-05,0.011087968,0.000307324,,,,,,,,,,,,,,
2.39,10000,-1.112943202,0.046515298,-0.00879416,0.122529256,0.000376283,1.16E-05,0.006322841,0.000169388,,,,,,,,,,,,,,
2.4,10000,-1.138836642,0.054735252,0.13968824,0.225538254,0.00051994,2.86E-05,0.021359398,0.000865683,,,,,,,,,,,,,,
2.41,10000,-1.096172482,0.053278995,-0.10397568,0.102811402,0.00048813,9.82E-06,0.004364323,0.000188968,,,,,,,,,,,,,,
2.42,10000,-1.083076482,0.046448522,-0.03103048,0.123665957,0.00036859,1.06E-05,0.006305495,0.000224721,,,,,,,,,,,,,,
2.43,10000,-1.095643522,0.045499689,0.03018136,0.135062518,0.000351714,1.68E-05,0.00742802,0.000227491,,,,,,,,,,,,,,
2.44,10000,-1.073828962,0.045495308,0.00809816,0.206907336,0.000347031,1.23E-05,0.017473054,0.000385574,,,,,,,,,,,,,,
2.45,10000,-1.062003842,0.047403366,-0.04088888,0.121051075,0.000374501,9.58E-06,0.005971242,0.000181339,,,,,,,,,,,,,,
2.46,10000,-1.054520642,0.046548934,-0.04998936,0.103205125,0.000358265,1.22E-05,0.004336782,0.000165975,,,,,,,,,,,,,,
2.47,10000,-1.043205923,0.043471464,0.02578024,0.108589847,0.000308208,8.35E-06,0.004769741,0.000114182,,,,,,,,,,,,,,
2.48,10000,-1.036286082,0.045800185,-0.09481512,0.125447156,0.000340266,1.40E-05,0.006339029,0.000334385,,,,,,,,,,,,,,
2.49,10000,-1.031282242,0.045469167,0.0080812,0.10376979,0.000332633,1.20E-05,0.004305672,0.000193628,,,,,,,,,,,,,,
2.5,10000,-1.007741122,0.044313566,-0.01201128,0.112814513,0.000316111,8.04E-06,0.00508841,0.000186764,,,,,,,,,,,,,,
2.51,10000,-1.014843682,0.047610307,0.10391816,0.132419538,0.00035802,2.39E-05,0.006973234,0.000250162,,,,,,,,,,,,,,
2.52,10000,-1.005739362,0.04123509,0.01387456,0.088773693,0.000267366,1.26E-05,0.003119614,9.07E-05,,,,,,,,,,,,,,
2.53,10000,-1.001649761,0.046759325,-0.09856032,0.112902708,0.000340723,1.52E-05,0.005008816,0.000359938,,,,,,,,,,,,,,
2.54,10000,-0.979755361,0.046520512,-0.0619436,0.138322207,0.000334256,1.36E-05,0.007547439,0.000178355,,,,,,,,,,,,,,
2.55,10000,-0.977336001,0.047117389,-0.038404,0.112815946,0.000339664,2.11E-05,0.00498391,0.000118023,,,,,,,,,,,,,,
2.56,10000,-0.971417601,0.043074536,0.00337184,0.105768289,0.000282368,9.00E-06,0.004371473,0.00010096,,,,,,,,,,,,,,
2.57,10000,-0.968060961,0.042876414,-0.0601456,0.106709572,0.000278483,6.93E-06,0.004413471,0.000146269,,,,,,,,,,,,,,
2.58,10000,-0.958997441,0.046858895,0.07267328,0.090891963,0.000330998,1.08E-05,0.003187682,8.21E-05,,,,,,,,,,,,,,
2.59,10000,-0.957032161,0.043005335,0.09256648,0.084675958,0.00027276,9.89E-06,0.002753404,0.000120986,,,,,,,,,,,,,,
2.6,10000,-0.944011521,0.045751293,-0.06809248,0.125569943,0.00030791,6.85E-06,0.006017708,0.000239734,,,,,,,,,,,,,,
2.61,10000,-0.942109761,0.045788023,0.03047904,0.096808064,0.000306569,9.50E-06,0.003603186,0.000111557,,,,,,,,,,,,,,
2.62,10000,-0.935329121,0.046534599,0.03022048,0.10438103,0.00031324,1.71E-05,0.004100863,0.000229059,,,,,,,,,,,,,,
2.63,10000,-0.921048641,0.04041113,0.0064756,0.106536122,0.000235255,7.73E-06,0.004314157,8.34E-05,,,,,,,,,,,,,,
2.64,10000,-0.91701232,0.04364731,-0.03605256,0.102619519,0.000271956,6.68E-06,0.003980303,0.000132106,,,,,,,,,,,,,,
2.65,10000,-0.908615361,0.044361895,0.03309192,0.097762314,0.00028073,1.39E-05,0.003601217,0.000145055,,,,,,,,,,,,,,
2.66,10000,-0.905988321,0.040793443,-0.0202472,0.10430039,0.000236412,5.21E-06,0.004095946,0.000197615,,,,,,,,,,,,,,
2.67,10000,-0.897549761,0.039980117,0.000486,0.083847787,0.000223878,1.09E-05,0.002629976,7.32E-05,,,,,,,,,,,,,,
2.68,10000,-0.8957832,0.043756292,0.05408992,0.090644681,0.000266004,1.07E-05,0.00307331,0.000121134,,,,,,,,,,,,,,
2.69,10000,-0.88408528,0.040546815,0.03514352,0.093550425,0.000225766,1.28E-05,0.003247717,7.79E-05,,,,,,,,,,,,,,
2.7,10000,-0.88467584,0.04076857,-0.0261836,0.074632798,0.000227382,1.11E-05,0.002050237,9.04E-05,,,,,,,,,,,,,,
2.71,10000,-0.875196961,0.040264314,-0.0098184,0.070880697,0.000220585,6.15E-06,0.001851492,6.45E-05,,,,,,,,,,,,,,
2.72,10000,-0.871588001,0.041018015,-0.01812032,0.08537748,0.000224166,1.08E-05,0.002661185,8.66E-05,,,,,,,,,,,,,,
2.73,10000,-0.862884961,0.039234721,0.0129112,0.079535735,0.000207527,8.76E-06,0.002323484,0.000131923,,,,,,,,,,,,,,
2.74,10000,-0.859776001,0.040262536,0.01890792,0.082216881,0.000215882,8.06E-06,0.00247273,6.67E-05,,,,,,,,,,,,,,
2.75,10000,-0.856111041,0.041751349,0.01125952,0.091733505,0.000230823,1.08E-05,0.003068126,8.07E-05,,,,,,,,,,,,,,
2.76,10000,-0.845674721,0.039453898,0.01126088,0.071259056,0.000203955,1.05E-05,0.001847194,0.000102043,,,,,,,,,,,,,,
