N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
150,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.5,TRUE,0.2,0.04,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,C_mean,C_std,chi_mean,chi_std,,,,,,,,,,,,,,,,,,
1.7,5000,-1.860775004,0.01528792,-0.816681849,0.06910073,8.04E-05,4.41E-06,0.00280285,0.000135317,,,,,,,,,,,,,,,,,,
1.71,5000,-1.8613856,0.008678435,-0.755313191,0.029587016,2.56E-05,1.16E-06,0.000502387,4.17E-05,,,,,,,,,,,,,,,,,,
1.72,5000,-1.814290098,0.008774759,-0.409088142,0.024489833,2.61E-05,8.39E-07,0.000349968,1.40E-05,,,,,,,,,,,,,,,,,,
1.73,5000,-1.823151787,0.016257503,-0.508437404,0.053276729,8.89E-05,2.21E-06,0.001640726,4.44E-05,,,,,,,,,,,,,,,,,,
1.74,5000,-1.823650347,0.009733659,-0.382276729,0.050199718,3.14E-05,2.03E-06,0.001439681,5.25E-05,,,,,,,,,,,,,,,,,,
1.75,5000,-1.804712178,0.007804999,-0.21938688,0.008581183,1.97E-05,1.46E-06,4.20E-05,3.63E-06,,,,,,,,,,,,,,,,,,
1.76,5000,-1.791351004,0.010559029,0.174783324,0.020271373,3.61E-05,2.61E-06,0.000233148,8.17E-06,,,,,,,,,,,,,,,,,,
1.77,5000,-1.818662329,0.007385164,0.271368391,0.017021385,1.73E-05,6.95E-07,0.00016191,6.01E-06,,,,,,,,,,,,,,,,,,
1.78,5000,-1.797600604,0.009402499,-0.312721244,0.02370122,2.80E-05,7.07E-07,0.000313866,1.51E-05,,,,,,,,,,,,,,,,,,
1.79,5000,-1.776921564,0.009948846,-0.114476676,0.03226508,3.09E-05,1.69E-06,0.000577877,1.89E-05,,,,,,,,,,,,,,,,,,
1.8,5000,-1.7929816,0.010638615,-0.190363484,0.008431922,3.47E-05,1.57E-06,3.97E-05,1.28E-06,,,,,,,,,,,,,,,,,,
1.81,5000,-1.790801404,0.010511945,0.247491484,0.02193052,3.37E-05,1.00E-06,0.000264595,1.05E-05,,,,,,,,,,,,,,,,,,
1.82,5000,-1.791877387,0.008367366,-0.427959822,0.017924281,2.11E-05,1.29E-06,0.000174113,5.67E-06,,,,,,,,,,,,,,,,,,
1.83,5000,-1.759363076,0.010543772,-0.105496213,0.028957556,3.28E-05,1.48E-06,0.000455248,2.34E-05,,,,,,,,,,,,,,,,,,
1.84,5000,-1.764978364,0.016066272,-0.465181493,0.07049016,7.60E-05,2.34E-06,0.002702707,0.000127074,,,,,,,,,,,,,,,,,,
1.85,5000,-1.751218933,0.013259565,-0.335882773,0.04482871,5.11E-05,2.98E-06,0.001086195,4.14E-05,,,,,,,,,,,,,,,,,,
1.86,5000,-1.753239342,0.011693467,0.194715947,0.05033904,3.89E-05,1.85E-06,0.001356297,5.53E-05,,,,,,,,,,,,,,,,,,
1.87,5000,-1.740268782,0.011410907,0.250741316,0.037571616,3.68E-05,2.87E-06,0.000753062,4.30E-05,,,,,,,,,,,,,,,,,,
1.88,5000,-1.735749796,0.010793705,-0.137184907,0.022421829,3.31E-05,1.42E-06,0.000266103,1.52E-05,,,,,,,,,,,,,,,,,,
1.89,5000,-1.727793742,0.010615608,-0.216484142,0.045000047,3.13E-05,1.19E-06,0.001071196,3.88E-05,,,,,,,,,,,,,,,,,,
1.9,5000,-1.733934969,0.01354761,0.26952624,0.068470771,5.07E-05,3.77E-06,0.002463001,7.28E-05,,,,,,,,,,,,,,,,,,
1.91,5000,-1.724718169,0.011960572,0.075704409,0.03076489,3.93E-05,2.08E-06,0.000496232,2.96E-05,,,,,,,,,,,,,,,,,,
1.92,5000,-1.725364213,0.013167548,0.3035392,0.014163913,4.73E-05,3.07E-06,0.000104456,4.56E-06,,,,,,,,,,,,,,,,,,
1.93,5000,-1.719926027,0.010994726,0.249932018,0.01892592,3.23E-05,2.66E-06,0.000184857,1.36E-05,,,,,,,,,,,,,,,,,,
1.94,5000,-1.6822248,0.011178219,0.183221351,0.046050914,3.28E-05,2.77E-06,0.001098397,6.20E-05,,,,,,,,,,,,,,,,,,
1.95,5000,-1.695115004,0.014247083,0.22753392,0.024539396,5.36E-05,2.23E-06,0.000312576,1.71E-05,,,,,,,,,,,,,,,,,,
1.96,5000,-1.677039289,0.01080423,0.085180836,0.016850547,3.06E-05,1.87E-06,0.000144082,6.41E-06,,,,,,,,,,,,,,,,,,
1.97,5000,-1.66729024,0.0152603,0.234966667,0.022108263,5.97E-05,3.53E-06,0.000245893,9.15E-06,,,,,,,,,,,,,,,,,,
1.98,5000,-1.668683929,0.016581884,0.296399556,0.045030773,7.00E-05,3.58E-06,0.001022468,3.32E-05,,,,,,,,,,,,,,,,,,
1.99,5000,-1.670775556,0.016187164,0.307425173,0.031647721,6.59E-05,3.56E-06,0.000495854,3.38E-05,,,,,,,,,,,,,,,,,,
2,5000,-1.646817582,0.013092972,-0.119501156,0.042608252,4.25E-05,3.02E-06,0.000906191,4.82E-05,,,,,,,,,,,,,,,,,,
2.01,5000,-1.666290702,0.011557648,0.279430791,0.011683118,3.31E-05,1.81E-06,6.80E-05,5.97E-06,,,,,,,,,,,,,,,,,,
2.02,5000,-1.640921884,0.01426642,0.005586453,0.018570258,4.95E-05,2.28E-06,0.000172913,9.39E-06,,,,,,,,,,,,,,,,,,
2.03,5000,-1.668090684,0.014926184,-0.62527168,0.047100801,5.40E-05,1.67E-06,0.001093347,4.37E-05,,,,,,,,,,,,,,,,,,
2.04,5000,-1.624342222,0.016499444,-0.331292498,0.074852968,6.52E-05,3.23E-06,0.002736387,6.18E-05,,,,,,,,,,,,,,,,,,
2.05,5000,-1.609653653,0.018617423,0.286072978,0.073519174,8.23E-05,4.31E-06,0.002625291,6.43E-05,,,,,,,,,,,,,,,,,,
