N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.005,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
1.83,50000.00,-1.83,0.01,0.95,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.84,50000.00,-1.83,0.01,0.95,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.84,50000.00,-1.83,0.01,0.95,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.85,50000.00,-1.82,0.01,0.94,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.85,50000.00,-1.75,0.01,0.12,0.14,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,
1.86,50000.00,-1.82,0.01,-0.94,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.86,50000.00,-1.81,0.01,-0.94,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.87,50000.00,-1.81,0.01,-0.94,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.87,50000.00,-1.81,0.01,0.94,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.88,50000.00,-1.73,0.01,0.03,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.88,50000.00,-1.80,0.01,-0.94,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.89,50000.00,-1.80,0.01,0.93,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.89,50000.00,-1.80,0.01,-0.93,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.90,50000.00,-1.79,0.01,0.93,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.90,50000.00,-1.72,0.02,-0.01,0.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.91,50000.00,-1.79,0.01,-0.93,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.91,50000.00,-1.78,0.02,-0.93,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.92,50000.00,-1.71,0.02,0.01,0.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.92,50000.00,-1.78,0.02,-0.93,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.93,50000.00,-1.77,0.02,-0.92,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.93,50000.00,-1.77,0.02,0.92,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.94,50000.00,-1.69,0.02,0.19,0.09,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.94,50000.00,-1.76,0.02,0.92,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.95,50000.00,-1.76,0.02,0.92,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.95,50000.00,-1.68,0.02,0.24,0.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.96,50000.00,-1.68,0.02,0.37,0.10,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,
